[2026/01/18 23:46:03] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:05] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:07] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:09] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:11] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:13] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:15] : Normal : CPU - 0.1 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:17] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:19] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:21] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:23] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:25] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:27] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:29] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:31] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:33] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:35] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:37] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:39] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:41] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:43] : Normal : CPU - 0.2 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:45] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:47] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:49] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:51] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:53] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:55] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:57] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:46:59] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:47:01] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
