[2026/01/18 23:43:02] : Normal : CPU - 0.7 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:04] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:06] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:08] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:10] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:12] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:14] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:16] : Normal : CPU - 0.2 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:18] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:20] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:22] : Normal : CPU - 0.2 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:24] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:26] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:28] : Normal : CPU - 0.2 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:30] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:32] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:34] : Normal : CPU - 0.1 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:36] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:38] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:40] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:42] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:44] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:46] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:48] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:50] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:52] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:54] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:56] : Normal : CPU - 0.2 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:43:58] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:00] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
