[2026/01/18 23:44:02] : Normal : CPU - 1.0 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:04] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:06] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:08] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:10] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:12] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:14] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:16] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:18] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:20] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:22] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:24] : Normal : CPU - 0.1 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:26] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:28] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:30] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:32] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:34] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:36] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:38] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:40] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:42] : Normal : CPU - 0.4 | MEM - 8.2 | DISK - 0.3
[2026/01/18 23:44:44] : Normal : CPU - 0.4 | MEM - 8.2 | DISK - 0.3
[2026/01/18 23:44:46] : Normal : CPU - 0.9 | MEM - 8.2 | DISK - 0.3
[2026/01/18 23:44:48] : Normal : CPU - 0.6 | MEM - 8.2 | DISK - 0.3
[2026/01/18 23:44:50] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:52] : Normal : CPU - 0.2 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:54] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:56] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:44:58] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:45:00] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
