[2026/01/18 23:51:01] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:03] : Normal : CPU - 0.1 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:05] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:07] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:09] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:11] : Normal : CPU - 0.1 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:13] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:15] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:17] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:19] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:21] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:23] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:25] : Normal : CPU - 0.2 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:27] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:29] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:31] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:34] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:36] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:38] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:40] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:42] : Normal : CPU - 0.3 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:44] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:46] : Normal : CPU - 0.9 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:48] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:50] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:52] : Normal : CPU - 0.5 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:54] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:56] : Normal : CPU - 0.6 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:51:58] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
[2026/01/18 23:52:00] : Normal : CPU - 0.4 | MEM - 8.3 | DISK - 0.3
